特征一实部,特征一虚部,特征二,特征三,特征四四部,特征四虚部
9559,-4524,722,7,-893,2678
-1749,-7820,838,1,-8622,2970
21183,2146,747,6,3941,6444
28720,10754,744,2,-9905,5144
27904,12674,721,0,-9351,-1089
-7550,5373,726,14,-7550,5373
990,-4526,830,1,-4436,3658
16489,-11610,713,11,-4648,-7416
-2009,-11142,745,11,-10829,4269
18494,-5795,725,10,-4097,16541
28738,8525,728,1,-6992,-2157
13841,2482,740,3,6409,20117
7062,24440,743,13,-1152,16203
15201,1238,843,0,7851,18532
-8701,17253,712,15,1108,-11976
28661,-779,836,2,6,-10530
23196,1664,847,0,4986,10606
13292,22990,714,13,11812,22018
14871,21067,716,13,14430,20104
9904,12732,711,1,11421,21899
-97,-1680,747,11,-4096,8600
6488,19227,723,14,6488,19227
21670,20992,849,11,19886,20621
16524,24736,835,14,-1545,1390
21250,20380,848,8,20854,20338
-1232,9497,842,3,-1232,9497
20141,466,827,0,4351,13782
19478,23125,845,14,8327,20534
5201,-9725,722,9,-8049,11760
21929,21202,826,13,19320,20725
14341,21312,845,8,12651,20256
11541,25510,837,9,-4067,625
708,13745,830,3,708,13745
20646,19791,833,9,19806,18686
11283,21556,707,11,12302,22461
16740,21553,843,8,15433,21046
6381,20726,735,14,5341,19256
26350,-3321,706,11,15320,-12684
16324,529,722,11,7528,2169
5400,21810,840,10,-1289,8345
26257,-3834,737,10,-10447,3256
28992,5538,739,1,-9933,7268
-5447,10436,835,8,-1874,-4540
26251,5948,705,4,5760,-4435
28960,4803,721,6,5737,-14045
3439,10655,730,9,4807,19186
-1339,6127,734,12,-1339,6127
17305,21950,838,6,14773,20908
16825,16055,739,2,16024,20172
5419,23700,746,13,-2554,11436
9444,13479,730,8,11405,21537
12309,21414,832,6,8403,16777
5017,-12853,719,14,5017,-12853
29907,4463,828,0,6967,-13369
11220,22245,845,8,8327,20534
26889,10937,709,2,-2406,4147
24004,2534,734,4,1451,3664
10288,-13854,721,7,-8986,-3430
24175,7551,726,2,4627,17970
-7675,3184,709,12,-8522,9636
14773,6551,824,0,11029,17637
8605,21956,727,14,8605,21956
22762,19666,849,8,22648,19609
19787,-6174,730,4,-3220,19257
13285,17366,829,1,13790,18465
6287,25414,735,15,-5218,14418
17200,24130,846,9,6516,22181
1022,13255,724,13,6638,1685
2022,14688,745,5,4254,19643
27305,7972,722,1,-2648,2941
28553,5145,733,3,-8981,7987
22491,-4025,721,6,-7047,10167
27458,-1174,736,4,-10317,2305
20074,18968,834,8,19874,18676
28889,9391,731,1,-6257,-6697
28279,4633,719,8,-6315,-4147
10705,23656,719,15,7228,21189
4794,2961,711,5,554,12481
9428,2428,825,8,15547,-90
22136,-9201,723,9,-6724,-7511
7327,24196,733,15,671,18147
-4674,13054,831,4,1013,-6712
2139,-1182,716,12,-1448,2804
27806,-1645,746,8,-11336,10986
-8758,-2821,747,12,-8758,-2821
22444,-8057,705,5,1620,-12460
-4751,11574,707,14,-4751,11574
23994,-2434,718,10,-7238,8034
4028,18472,743,13,5533,4860
17478,-12031,724,5,-7964,-5459
27770,1230,725,4,-9731,2645
25670,-4492,703,9,5438,-14007
18253,24648,825,13,-2072,-7727
20945,-2322,725,10,-3550,11763
6769,-1863,736,6,1578,19602
-1043,7326,715,12,-1765,11279
26570,12170,732,2,4609,3383
9740,16240,723,10,11945,21528
8913,5276,731,12,6816,7148
12876,22907,725,15,10756,21232
29152,9987,747,2,-11059,11835
-10229,-2327,704,13,16722,-12078
-2053,18870,837,10,-599,-6538
9864,20476,709,11,11105,21894
17276,-12186,731,9,-10945,1114
22541,3129,842,2,9581,5583
28187,783,743,8,-10163,3887
-10945,12381,705,13,1620,-12460
17023,24299,835,12,-592,14262
1498,10787,837,1,2366,15836
10739,22062,832,7,13708,280
23986,-788,716,4,-5595,9603
17345,24966,848,14,-7449,-1078
21153,-9042,706,7,4849,-12904
14795,-13904,715,7,-6446,-8705
29116,2991,745,8,-8936,-3749
-7240,5449,715,12,-7424,11512
2402,3839,715,11,-138,13284
19858,23418,845,14,7662,23265
20013,23368,832,15,3290,17865
26828,13022,712,0,909,-1084
12583,21410,741,15,10664,17666
20183,21004,826,6,19320,20725
28770,5297,703,6,10285,-14436
24739,5601,708,1,-746,10689
6812,8187,834,4,12920,1680
26034,7065,703,1,-1749,5052
-11094,11116,736,14,-10875,2518
19268,23568,833,13,1092,10363
19936,20788,845,4,19266,20481
22972,-4177,713,10,-7737,10166
5569,8555,717,6,6863,20985
8856,20745,747,9,11030,22574
11697,18563,718,1,14552,22549
-10717,14396,708,15,5348,-13786
7262,3341,842,2,7631,20063
8690,11088,708,10,8360,19767
17352,24494,824,14,-332,16739
9150,12733,846,4,11577,6539
21429,-3452,720,10,-5048,12003
20409,20676,836,4,19920,20449
19252,-3155,704,9,2761,-2774
24470,-357,718,1,-1180,20733
15753,24261,829,12,1007,8504
16730,24861,826,14,-4306,9929
27504,13899,722,0,2636,-12203
27902,12574,728,0,-8837,2739
16148,20857,844,6,13643,18712
27777,11044,715,0,-7424,11512
18855,19953,841,4,18131,19314
15786,24295,831,12,459,6925
-3356,5284,748,9,-1229,18393
8281,24586,744,15,-285,16247
21952,21668,848,15,16029,21138
15224,23099,846,12,10028,2049
6652,13774,830,6,11347,3412
19587,23996,841,13,-5822,-3873
23913,-4593,706,9,3476,-10672
2671,-10731,748,9,-9071,9475
21258,2082,704,5,13067,-976
19179,22473,828,12,13475,20473
14211,25373,830,12,1264,-6056
-12120,8164,706,13,7215,-14001
6229,8035,833,4,12646,1145
26689,1919,745,3,-4803,13128
27327,10764,730,2,-2468,8601
17981,24516,849,14,-6662,4176
4109,-2852,715,12,-170,386
12283,3520,844,1,9344,5986
10089,20719,710,7,11244,21944
12977,23046,837,5,5794,5422
23252,20329,847,13,21998,20042
22845,20220,849,11,22121,19992
21115,21221,844,15,16043,17291
17069,24339,841,9,6438,22818
20471,23190,835,15,3158,19943
29510,5973,747,3,-9643,-1728
-4047,-3292,840,3,-4047,-3292
13547,25596,827,12,3927,-9781
20056,1840,718,6,2018,8634
5644,17433,721,12,6215,18910
2203,24157,721,15,-6975,11050
171,20939,842,4,-6309,4845
-650,8765,737,5,256,16620
18195,17811,724,4,17461,18939
3982,23534,727,15,-3279,12801
16755,-7809,717,9,-4937,-183
314,25239,735,15,-8875,-3863
4400,11676,734,9,5126,17739
6306,5103,847,2,8777,20803
3997,16309,736,11,5558,19471
21781,20394,836,6,21403,20215
25525,3607,712,10,2417,-2095
17030,-2552,848,0,4959,19243
11824,24685,828,5,169,1395
14570,810,708,10,1620,14647
-2092,9398,738,9,792,19260
18690,20768,840,7,15710,17074
1547,-13774,738,5,-11918,3184
26739,3383,729,8,-4407,4092
28778,5310,714,8,-4577,-9259
29001,9405,725,3,1761,-13590
4850,26569,744,15,-10857,9790
-9063,13797,738,14,-9971,6378
21337,17558,825,3,21337,17558
15207,-11492,826,1,5166,-11373
15390,23117,732,15,13968,22443
26739,13221,715,0,2880,-1898
7870,19242,842,10,4864,8949
481,10456,838,3,481,10456
15987,23812,830,11,5136,17364
-313,4141,738,5,-1483,13725
10978,17842,711,1,13791,22526
-10295,10628,705,13,4095,-11627
6942,26089,745,13,-4616,18588
7287,-8083,733,9,-6217,11288
16908,22967,740,13,15825,22542
28650,9503,711,1,-2056,-11212
8891,16286,739,3,13209,22746
27867,12526,713,2,-2726,-8510
25976,9311,720,3,7835,848
12831,-6643,741,3,4096,23752
13691,25318,826,12,3072,-6116
21305,21273,824,14,19144,20764
10643,-3258,706,9,-1770,6954
26051,9071,723,3,7018,1077
1249,15281,724,15,6638,1685
20350,23351,847,15,-2013,9404
24985,-6383,714,9,257,-13278
15297,23084,835,9,7034,16144
27319,7747,724,1,-3081,4148
15232,24101,838,10,11165,23495
13020,25646,839,11,-3467,-3188
-4551,20326,838,6,1583,-12800
-6846,15101,727,14,-6846,15101
17460,17911,706,10,16720,18931
3048,-7721,729,9,-6320,13997
10576,7753,846,2,10814,18717
29201,6023,712,4,4085,-15584
18155,18543,738,5,18022,18859
1149,-3963,827,3,1149,-3963
24690,6773,708,10,10562,-77
28208,3837,724,8,-8145,-748
19211,-1185,731,8,247,17509
21469,20916,825,5,20435,20560
19046,23503,847,14,4712,18986
24624,3785,729,8,-375,7126
28084,1862,835,0,-1167,-1722
22768,3236,744,8,2499,8820
-11995,11508,711,13,3841,-14292
22115,19778,841,1,22219,19830
4325,8544,718,5,3499,16133
21288,19709,848,2,21933,20048
10491,7983,847,2,10966,18844
-6646,6340,825,4,7342,-11057
20979,169,838,2,4937,7557
6967,-9965,706,5,-8295,4943
14342,-10824,829,1,4579,-10064
14957,24880,826,5,203,17540
-3310,20049,845,8,-9669,6671
87,20337,837,10,-2161,-1986
8942,14690,727,10,11005,21320
19784,22614,825,13,11086,18134
4403,23749,717,15,-2776,14856
27092,9603,727,2,-2446,12659
28910,4225,709,6,5216,-14770
6276,3400,826,3,6276,3400
27917,12897,729,0,-7564,-1229
11080,20756,827,10,7782,15816
25843,9693,711,0,603,15425
-2571,602,723,7,-4446,13621
18352,23729,842,14,2437,15769
15202,25650,842,7,-8689,7038
24842,8388,708,2,1620,14647
24466,5288,725,10,6420,1530
-1649,-3587,836,3,-1649,-3587
2866,-10347,738,5,-8536,3769
7067,-11504,747,9,-8572,5139
18644,24020,836,14,3189,20709
27635,13133,711,2,3675,-11941
7821,-8899,716,7,-5458,1146
20069,23304,836,13,4231,18969
16578,23894,845,6,12694,23676
28595,4037,743,3,-8580,6580
20881,-6560,740,6,-7093,10673
19001,23550,833,13,2462,5858
28790,497,743,10,-6482,-8195
15149,25146,847,7,-4514,5208
9232,-13640,729,5,-11251,4311
-1807,-4112,727,5,-5792,14742
24387,2237,747,1,365,17282
15770,23560,835,7,4999,13932
16033,22168,748,5,16514,22430
10335,2868,846,1,7236,6173
22375,-114,724,4,-2770,11151
21727,20872,827,7,20753,20512
4199,23406,732,13,-2361,15191
26117,-4974,704,9,4673,-15294
26082,13500,717,0,7898,1145
-7977,-6672,728,12,-12451,2430
11030,22574,747,12,11030,22574
27028,10861,717,0,-3007,12157
3874,24272,724,15,-4903,13851
16876,21531,848,6,14338,20002
18043,22732,835,12,9298,17083
11770,14678,847,0,15931,21137
26913,-1569,743,8,-9446,10606
21799,20279,841,8,21650,20185
29155,5694,733,8,-6384,-7470
28274,7627,708,3,-2612,-6467
-7510,2381,708,12,-8650,8877
24015,1446,703,4,-3053,4734
9744,9000,837,8,12717,5211
19369,24186,836,13,-8318,1490
28357,11830,723,2,-10570,-1345
11415,22050,846,4,7287,18848
9259,19464,706,9,10744,21683
18168,22349,835,7,12499,19129
-371,10304,736,14,809,6185
26204,-1173,727,6,-8126,2953
18717,1010,712,4,614,12840
15263,8522,714,2,10716,21243
29317,5826,748,1,-10331,8535
20126,-481,720,4,-1263,13505
25352,3354,725,8,-2311,5835
19524,-6965,727,4,-3541,19636
17499,10678,827,0,14692,16169
28290,7789,718,1,-7119,719
10277,22094,832,9,8429,2169
1143,-6520,732,9,-5522,15645
28792,3555,716,4,-7148,-7844
27910,13196,711,2,5174,-15799
24763,1316,738,8,-2787,7094
16513,24912,840,12,-5538,6386
20380,22422,838,13,10226,17944
20782,-9371,710,11,1290,-11759
15262,-215,732,5,4615,3781
16523,24040,845,11,3068,16826
17891,24411,848,14,-5054,5168
-3195,-6501,746,5,-8635,10288
22089,20677,844,7,20615,20408
27396,1701,715,6,-3224,-6338
28153,3665,742,3,-7574,7936
18549,17982,740,6,18085,18867
20744,22568,842,15,7846,17882
367,19780,835,10,-1190,-1417
13185,20015,730,3,15743,22561
27336,-2340,746,6,-9160,-1767
11186,-13354,739,9,-9473,134
26749,6332,738,2,792,19260
27531,13375,710,0,-2796,-10001
17815,2117,729,3,4585,18992
28546,70,838,0,-7738,2665
27915,11528,717,2,-6825,-76
13050,-10649,724,5,-7402,499
10385,25618,826,11,3618,-7824
19900,-3836,846,0,2328,18563
28784,10720,744,2,-9920,5342
28815,6628,717,4,6455,-13427
-4033,7492,728,14,-4033,7492
27953,12459,730,0,-9083,4517
27263,9371,741,2,-1560,11473
10582,-9892,712,5,-7011,1960
19133,731,711,11,10628,-348
7023,-3118,738,6,792,19260
23817,2087,725,3,-937,15387
15447,25239,830,14,1264,-6056
-2361,11573,732,14,-2361,11573
28373,462,729,10,-10235,-2346
20085,3568,717,3,3370,15879
27178,14383,711,0,11302,-13711
7389,10619,841,8,9704,5380
12922,10512,735,10,10110,17014
9555,10832,716,8,9456,20570
19426,2702,832,2,8006,9552
13788,25380,842,11,-3783,1514
19931,22017,847,5,15931,21137
21500,-9959,713,11,801,-13034
4371,-12848,741,9,-10551,6963
28608,9191,709,3,3851,-12971
-7313,1974,718,12,-8595,8805
17510,-3309,721,4,-1294,17950
1625,668,736,11,-1780,8924
4729,13201,825,6,10826,1267
4592,24817,714,13,-2493,19415
27908,6015,704,1,-8765,5742
2372,11882,706,5,3579,18546
6505,-7160,729,7,-4407,4092
15537,-4582,703,9,-1005,899
4968,22147,844,10,-2141,7589
22928,-7852,848,2,-7618,11998
12863,22914,840,6,7341,19216
-4341,-2926,745,11,-7290,10198
27852,5590,721,1,-6975,11050
18357,19063,849,1,18653,19412
11769,20310,734,6,14082,22490
7670,-14897,738,9,-11918,3184
-2318,4610,704,12,-3642,9125
14420,19825,717,12,14510,20125
-11314,9357,703,15,10251,-12767
15969,23345,739,13,14399,22813
9464,17845,715,6,11921,22052
11120,25385,838,9,-2544,-1306
20580,22218,835,13,11634,18765
17607,-3979,711,6,-3975,13720
28371,11993,742,0,-9391,4316
11989,21278,727,5,13348,22386
20571,23086,845,13,2036,18249
19661,22314,834,12,14263,20739
15877,-11240,713,7,-2726,-8510
26934,8220,711,3,2857,-2491
3861,1198,705,7,-836,9402
1762,19628,842,4,-2699,5878
13631,25657,839,5,-7059,4511
24466,-121,836,0,385,9484
5868,18075,827,4,3669,10046
-5753,9062,833,8,-854,-5807
27588,12865,707,2,2429,-11055
18604,24575,828,13,-4876,-5939
11476,-5037,705,11,-627,991
26312,13052,715,0,4418,1573
21897,20182,832,4,21678,20066
28591,11509,728,2,-12451,2430
6953,15952,742,9,8472,19818
966,10270,713,13,9070,518
10847,19894,739,9,12135,21505
26431,12664,738,0,6616,3601
2581,9277,734,9,3003,17067
20396,19304,836,6,19992,18713
11471,20140,830,4,9099,16789
13186,22436,839,5,7766,6130
11346,24936,847,6,1557,20454
29316,5574,737,3,-9001,-2331
27796,13630,731,0,-4485,-8863
18590,17866,737,4,17992,18883
26077,11913,717,0,2067,8270
16918,23390,838,7,6941,17529
-594,20256,840,4,-6033,3207
12594,21926,739,14,12135,21505
17166,17184,844,2,18336,19340
22769,6159,732,4,6710,7395
23580,3934,733,6,4360,3687
11787,2338,839,3,11787,2338
22125,20510,836,9,21403,20215
-6352,15143,835,4,-2336,-8441
24911,-6880,709,9,-375,-13780
14680,19434,722,11,14912,20224
28726,8525,717,1,-7598,-4675
17116,20227,824,1,17461,20560
17633,19195,834,3,17633,19195
12264,23772,733,13,9605,22421
16563,-10764,713,7,-1559,-8711
-7611,10054,733,7,-2387,20866
6925,15888,841,1,8107,18530
16414,24305,824,12,1641,15242
26231,5801,706,4,5247,-4166
2359,13102,731,14,2359,13102
17231,24079,835,14,360,8993
2424,-498,726,5,-2409,13233
14947,726,838,2,5666,14253
7498,-9210,708,7,-5766,572
9987,106,742,7,5159,3415
23918,4470,717,1,108,14017
18195,20732,836,11,15378,16813
5341,13390,835,3,5341,13390
8289,-9913,704,5,-7750,3412
5800,-7897,729,5,-6637,8565
28578,9778,717,3,6722,-13195
27159,10242,746,2,338,8985
13662,25550,841,7,-2714,-4064
-380,11717,831,4,4747,-2451
-4003,18076,832,10,630,-9093
12299,21159,746,7,12990,21754
15729,-13023,734,9,-7505,-5588
20718,21492,831,12,18108,20564
28802,10681,738,2,-10978,4356
15203,22516,828,9,8469,15797
28842,6441,721,4,4816,-13006
-1564,9209,740,12,-1564,9209
6117,20170,838,10,2202,8074
-3542,17634,831,10,1123,-8126
-2375,12780,825,3,-2375,12780
21854,21052,847,12,19733,20668
2614,3860,718,5,153,14577
26767,12121,708,0,-2215,3602
20349,23537,844,15,-6951,8712
1947,23922,849,4,-9093,10545
16368,24938,839,12,-5493,5622
4164,18195,831,4,1759,8237
24744,4781,843,0,9452,5777
17365,24040,846,12,840,12426
9416,-14460,728,7,-10099,-1964
8101,-10411,737,9,-7492,3955
18582,-6763,746,4,-3361,18105
14144,4021,827,3,14144,4021
-12463,11720,710,13,3460,-14697
-13100,6252,705,13,9078,-14945
26572,5672,740,1,-1564,9209
-2714,6948,725,11,-972,17953
11439,23813,743,15,6402,19908
26336,10666,708,0,-1529,11773
21266,22717,839,15,11397,23532
-4908,15516,827,10,3927,-9781
26228,-3469,739,6,-9219,699
15716,25442,841,12,-6111,-4847
-2648,7340,836,3,-2648,7340
23675,-7532,717,9,-2861,-10927
17517,24287,846,12,-1804,13282
19586,17195,739,2,18053,18855
28510,1874,719,6,-4524,-9569
12282,20158,741,4,14814,22535
21956,5297,743,4,7159,7657
10467,-8045,825,1,2133,-4913
16284,-8021,709,5,-2620,-3614
12837,24115,829,9,1033,10411
14136,2312,729,1,7761,21937
25425,-3557,728,6,-9830,7692
13015,20721,748,9,14088,21750
19640,-5570,740,4,-4156,16339
26479,-138,715,6,-6141,-1626
14420,21644,847,7,11479,6711
-873,710,848,1,-3302,9387
27476,2211,727,3,-6846,15101
14766,24492,830,11,708,13745
2691,4568,833,1,1092,10363
5008,-9571,710,12,-1900,-6350
28044,8709,703,3,2980,-9472
8736,21612,847,6,2670,10964
-3294,-1064,737,9,-4718,15455
10762,25667,831,5,274,-6983
16887,24572,838,14,-1665,3865
28275,10763,746,0,-5737,13158
12829,-133,748,9,3915,5616
9903,3057,845,3,9903,3057
27974,-2658,839,2,-4902,-6510
9739,11771,714,5,8475,15616
1721,4523,714,7,-314,13081
17081,24006,843,5,6045,20545
-2922,-9613,722,12,-9425,-2507
13115,-5951,720,5,-2126,1786
10944,-916,748,4,3405,19767
26326,-3461,741,10,-9927,3193
29050,4944,724,8,-7474,-6974
15596,23844,827,11,4650,16562
3512,-1143,715,5,-2596,11515
11955,-127,826,2,4489,16285
18635,-2208,705,5,6047,-2799
16457,24293,829,14,646,5918
17742,19612,734,13,17882,18844
28371,5023,746,1,-7112,10922
-3388,6063,843,3,-3388,6063
19190,-1244,716,10,-1688,11747
28464,10583,708,1,6007,-14725
27058,11869,724,0,-2647,7282
4289,19317,710,14,4289,19317
26022,-4726,724,9,2875,-13728
26894,11641,717,0,-2829,7408
29304,6185,745,1,-10572,5316
12573,8987,742,0,13549,22779
-1722,-8412,747,5,-9227,8692
10075,19630,726,10,13305,22839
14110,19005,848,3,14110,19005
11815,25836,836,9,-6614,1894
14284,25722,848,9,-7800,11786
18819,24354,836,13,1178,-10547
25773,9163,718,3,7609,1341
28652,3495,724,8,-10163,-624
-4550,11511,837,8,-2106,-2948
25069,57,716,10,-5090,2837
21809,433,740,10,652,6352
-3015,9764,706,13,7125,-3363
18879,22241,835,12,12517,18887
27466,8537,716,0,-1854,20097
28214,7756,721,1,-6805,1496
10845,25355,827,9,-3818,1436
21628,20816,828,9,20829,20479
17154,18506,711,11,16926,18925
28889,8590,715,3,-1080,-12098
26891,11696,714,0,-2997,6935
9175,1160,716,14,9175,1160
3111,25974,748,13,-10897,8529
27160,2068,825,0,1085,-186
28746,7674,704,6,19426,-11176
4541,-9353,729,5,-7976,9282
14146,23225,709,15,12771,22429
5251,11228,830,6,13391,861
9434,20599,704,11,10678,22017
22435,-6426,748,6,-7998,10525
23608,1817,737,1,262,17190
18456,23784,849,14,1285,13719
20767,-1820,713,10,-3353,10159
18260,22352,836,7,12644,19229
8997,20054,829,4,5975,15034
4404,1408,711,5,-561,11911
17502,24352,843,14,-2115,6972
-2997,-7917,738,11,-9391,6153
24938,7374,723,8,7267,2359
-3473,-9750,742,7,-10414,2913
14330,20972,709,13,13909,19930
22877,-8694,715,5,-130,-12887
25273,4861,713,4,2851,-188
16290,18548,748,6,16540,20159
8681,17535,830,10,8071,9071
-197,15529,827,4,459,856
8111,25091,740,15,-1629,17084
12533,25698,748,15,6064,24444
-2612,-6467,708,14,-2612,-6467
-9189,11171,837,4,2514,-13214
14004,19933,833,4,12321,17767
21191,3683,721,1,3140,17174
550,20545,719,15,-2052,4447
15566,812,837,1,11685,1674
10710,19486,726,9,12222,21578
18046,17604,711,3,16926,18925
25375,-12,733,8,-5618,13010
28305,4338,738,3,-7574,4800
20880,21125,827,9,19383,20720
19243,-7476,744,6,-6283,13300
26120,10402,713,0,-337,12518
26431,5832,733,1,-2203,12076
1392,15537,745,5,4351,20312
22900,20632,848,15,20741,20252
14435,-6464,741,4,-1254,19487
24009,672,742,3,-1403,15784
26703,10305,723,0,-823,14730
10943,3641,741,1,9050,22281
-3489,-2866,710,12,-6973,3028
17325,298,828,2,4814,11210
9164,-13951,730,11,-10587,1422
9128,22968,747,15,3627,14820
-6503,10583,742,12,-6503,10583
25831,-5000,714,11,11900,-14098
15673,24029,833,12,2462,5858
27085,1140,732,3,-5186,17793
-6205,19662,710,15,-4169,-7485
16979,22940,739,15,15760,22438
28781,5746,718,8,-4021,-9535
-2128,-9000,740,5,-9853,8133
15786,22762,826,11,8270,15417
16132,22230,741,11,16492,22424
15471,23051,735,13,13881,22254
28211,411,737,4,-9001,-2331
15596,16678,729,1,15391,20289
27951,11542,745,0,-4115,7302
-3382,-11225,718,14,-3382,-11225
23370,1100,721,3,-572,16976
8194,16215,705,6,10552,21699
14564,25010,845,11,-3621,5022
2148,17940,838,1,4879,21191
478,20455,847,4,-5270,4153
25665,1647,710,4,-4681,2405
12962,20396,847,3,12962,20396
15476,20458,828,10,13694,18392
3606,12072,825,1,4348,16001
4703,13904,742,9,6311,19194
4635,-14763,721,12,-5018,-10950
-6861,14339,832,8,-7142,-2212
25752,-5252,711,9,3239,-14357
24899,4194,726,8,-109,5717
16476,13502,848,2,16366,17495
10539,17865,715,3,13470,22526
25231,4426,722,1,-1431,14183
4873,-4563,714,12,-81,-1389
17891,-2249,728,4,-445,17010
14782,9203,729,8,9690,17466
26130,-2207,735,4,-9221,6015
15927,25094,841,12,-4325,-1702
25027,-1757,737,4,-6917,6938
-8585,5436,832,8,386,-11003
6926,21610,841,8,3020,17956
11267,-5660,730,9,-3592,7753
18003,21494,834,9,14301,18735
17982,-9596,709,7,1077,-9599
4782,14477,835,4,6017,4777
10073,10386,704,5,7996,14147
10929,25636,834,9,-4392,-1488
16685,-4352,748,8,643,19563
13536,-2340,741,4,1134,17988
27388,3994,720,1,-6209,14686
2173,25829,745,13,-11372,5715
10428,-4442,717,9,-2829,7408
27825,8126,743,2,-2634,16429
7969,19712,844,8,5094,15634
21825,20148,832,8,21678,20066
-2798,19477,843,8,-8390,6631
14982,25591,835,12,-2336,-8441
-856,15475,745,5,2775,20993
5400,10785,727,10,8605,21956
22539,20750,835,13,20599,20353
17673,-12203,731,9,-10976,391
27876,10914,712,2,-8402,3923
27132,14434,711,0,11918,-13381
13635,1364,831,3,13635,1364
5288,21650,835,8,480,16759
10739,23228,848,10,3765,17775
14976,-3181,834,2,1814,14679
-4731,15094,748,5,511,22029
23726,3938,721,1,587,15628
16804,-2200,843,2,2556,13395
10383,19603,736,9,11686,21340
8369,-4377,724,11,-2167,5275
11587,-11843,719,7,-6109,-3910
18406,21068,824,8,17791,20775
-10025,4612,830,4,9007,-14759
1632,311,716,11,-2491,12002
12913,24704,827,9,-795,11835
21097,9842,721,2,8978,16603
27629,12814,705,2,1688,-11790
12192,21627,836,5,10387,4430
27754,9445,703,3,6553,-8326
20356,19908,830,2,21010,20367
13556,20464,838,8,12067,19050
7152,22788,728,13,2853,17760
8387,15254,734,3,12509,22630
-1009,20437,725,12,1080,22523
23527,975,733,10,-1514,6858
27694,10849,748,0,-2386,12403
14923,25018,833,12,-328,-2924
28742,7875,727,1,-9145,2166
28202,653,726,10,-9353,-2525
15730,-3448,707,7,5171,-2259
2804,8523,843,0,12279,23650
4715,23112,737,15,-1518,7684
27619,11412,729,0,-5416,11542
20648,4383,741,6,7402,7229
19430,23945,828,15,-4049,11262
-2937,-385,844,1,-5386,9392
25520,12692,716,2,9278,4254
10829,11649,845,2,13088,19622
25914,201,704,4,-7750,3412
27675,-1919,747,8,-11059,11835
9351,21145,831,5,13901,-19
14852,22549,727,14,14852,22549
28784,5910,717,8,-3203,-10228
-396,7694,731,11,697,17581
12470,24213,839,5,2350,822
22882,-2386,725,8,-4097,16541
26226,13544,720,0,7835,848
25032,4115,731,8,-314,6479
25410,-3070,738,10,-8194,3676
-7066,19481,711,15,-3599,-9359
18070,24496,849,14,-7084,5694
3041,1787,837,1,242,8016
16442,24631,830,11,2836,20693
7011,22223,843,8,2614,18529
19115,1568,713,5,10032,766
